Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Profit
1002,22/04/2023,Eve,North,"$39,952.08",9,Electronics,"$4,398.16","$4,439.12",New,0.18,Bank Transfer,Online,North-Eve,$368.64
1064,04/01/2023,Eve,East,"$50,744.20",10,Electronics,"$4,764.96","$5,074.42",New,0.12,Cash,Online,East-Eve,"$3,094.60"
1060,16/12/2023,Eve,East,"$188,187.56",44,Clothing,"$3,784.96","$4,276.99",New,0.06,Bank Transfer,Retail,East-Eve,"$21,649.32"
1021,27/11/2023,Alice,South,"$75,695.49",31,Furniture,"$2,254.99","$2,441.79",Returning,0.24,Bank Transfer,Online,South-Alice,"$5,790.80"
1033,14/11/2023,David,South,"$77,289.20",23,Furniture,"$2,981.50","$3,360.40",Returning,0.22,Bank Transfer,Retail,South-David,"$8,714.70"
1076,16/12/2023,Eve,East,"$113,239.50",30,Clothing,"$3,519.63","$3,774.65",New,0.20,Credit Card,Retail,East-Eve,"$7,650.60"
1058,05/04/2023,Alice,North,"$35,781.24",33,Furniture,"$1,011.65","$1,084.28",Returning,0.07,Bank Transfer,Retail,North-Alice,"$2,396.79"
1022,01/06/2023,David,East,"$23,030.55",9,Electronics,"$2,263.65","$2,558.95",New,0.03,Cash,Online,East-David,"$2,657.70"
1089,07/11/2023,Bob,West,"$202,784.32",47,Furniture,"$4,157.62","$4,314.56",New,0.17,Bank Transfer,Retail,West-Bob,"$7,376.18"
1049,17/05/2023,Alice,West,"$3,317.75",1,Furniture,"$3,290.89","$3,317.75",Returning,0.17,Bank Transfer,Online,West-Alice,$26.86
1091,04/09/2023,Charlie,South,"$105,889.52",44,Food,"$2,085.46","$2,406.58",Returning,0.06,Bank Transfer,Retail,South-Charlie,"$14,129.28"
1059,31/08/2023,Alice,North,"$131,758.20",35,Food,"$3,333.64","$3,764.52",Returning,0.02,Credit Card,Online,North-Alice,"$15,080.80"
1042,31/01/2023,Alice,North,"$8,955.54",11,Food,$635.20,$814.14,Returning,0.02,Cash,Online,North-Alice,"$1,968.34"
1092,09/02/2023,David,West,"$76,114.10",34,Furniture,"$2,037.41","$2,238.65",New,0.30,Credit Card,Online,West-David,"$6,842.16"
1060,17/08/2023,Bob,East,"$70,761.44",16,Clothing,"$3,975.99","$4,422.59",New,0.24,Cash,Online,East-Bob,"$7,145.60"
1080,05/02/2023,Charlie,South,"$13,951.71",9,Electronics,"$1,141.52","$1,550.19",New,0.28,Credit Card,Retail,South-Charlie,"$3,678.03"
1015,11/08/2023,Eve,East,"$42,586.88",32,Furniture,$970.51,"$1,330.84",Returning,0.06,Cash,Retail,East-Eve,"$11,530.56"
1062,06/01/2023,Eve,East,"$73,326.90",15,Clothing,"$4,756.55","$4,888.46",New,0.29,Credit Card,Online,East-Eve,"$1,978.65"
1062,18/11/2023,Alice,East,"$18,540.00",12,Furniture,"$1,088.99","$1,545.00",Returning,0.04,Bank Transfer,Retail,East-Alice,"$5,472.12"
1047,08/08/2023,David,North,"$47,097.93",33,Electronics,"$1,341.55","$1,427.21",Returning,0.15,Credit Card,Online,North-David,"$2,826.78"
1062,16/03/2023,David,West,"$232,502.40",45,Furniture,"$4,849.60","$5,166.72",Returning,0.25,Credit Card,Online,West-David,"$14,270.40"
1051,04/01/2023,Eve,North,"$51,952.88",14,Electronics,"$3,686.81","$3,710.92",New,0.10,Bank Transfer,Retail,North-Eve,$337.54
1055,01/12/2023,Charlie,West,"$30,707.36",8,Furniture,"$3,513.00","$3,838.42",Returning,0.13,Bank Transfer,Online,West-Charlie,"$2,603.36"
1064,14/05/2023,Bob,South,"$35,342.32",8,Electronics,"$4,271.99","$4,417.79",Returning,0.04,Cash,Online,South-Bob,"$1,166.40"
1003,28/04/2023,Charlie,South,"$23,048.82",27,Furniture,$623.32,$853.66,Returning,0.04,Cash,Online,South-Charlie,"$6,219.18"
1051,04/04/2023,Bob,East,"$44,683.92",12,Electronics,"$3,544.48","$3,723.66",Returning,0.19,Cash,Online,East-Bob,"$2,150.16"
1007,03/03/2023,Eve,West,"$2,637.91",1,Food,"$2,543.26","$2,637.91",Returning,0.20,Credit Card,Online,West-Eve,$94.65
1021,13/07/2023,Bob,West,"$192,170.01",43,Furniture,"$4,154.30","$4,469.07",Returning,0.23,Cash,Retail,West-Bob,"$13,535.11"
1073,01/12/2023,David,West,"$120,298.80",40,Furniture,"$2,565.30","$3,007.47",Returning,0.17,Credit Card,Retail,West-David,"$17,686.80"
1039,22/07/2023,Alice,East,"$151,205.88",42,Clothing,"$3,120.19","$3,600.14",Returning,0.19,Credit Card,Retail,East-Alice,"$20,157.90"
1018,26/01/2023,Alice,East,"$27,709.77",11,Clothing,"$2,414.82","$2,519.07",Returning,0.00,Cash,Online,East-Alice,"$1,146.75"
1004,22/06/2023,Eve,South,"$108,357.60",39,Electronics,"$2,416.89","$2,778.40",Returning,0.05,Cash,Online,South-Eve,"$14,098.89"
1089,27/10/2023,David,North,"$180,040.14",43,Furniture,"$3,851.45","$4,186.98",Returning,0.30,Credit Card,Online,North-David,"$14,427.79"
1060,13/05/2023,Charlie,West,"$103,529.46",31,Electronics,"$3,161.40","$3,339.66",Returning,0.02,Bank Transfer,Online,West-Charlie,"$5,526.06"
1014,22/11/2023,David,West,"$54,468.17",17,Food,"$3,184.65","$3,204.01",New,0.20,Bank Transfer,Online,West-David,$329.12
1009,28/04/2023,Alice,North,"$86,687.70",33,Clothing,"$2,278.90","$2,626.90",New,0.05,Credit Card,Online,North-Alice,"$11,484.00"
1090,20/11/2023,Alice,West,"$100,872.96",32,Electronics,"$2,678.99","$3,152.28",Returning,0.22,Cash,Retail,West-Alice,"$15,145.28"
1053,02/10/2023,David,East,"$117,770.16",29,Electronics,"$3,741.30","$4,061.04",Returning,0.21,Credit Card,Online,East-David,"$9,272.46"
1002,31/07/2023,David,East,"$91,595.70",21,Clothing,"$4,138.41","$4,361.70",Returning,0.07,Credit Card,Retail,East-David,"$4,689.09"
1084,13/08/2023,Alice,West,"$79,071.51",21,Furniture,"$3,497.98","$3,765.31",New,0.08,Cash,Online,West-Alice,"$5,613.93"
1092,20/01/2023,Charlie,East,"$189,279.20",40,Electronics,"$4,624.16","$4,731.98",New,0.20,Bank Transfer,Retail,East-Charlie,"$4,312.80"
1060,23/04/2023,Eve,East,"$103,232.51",23,Clothing,"$4,110.60","$4,488.37",New,0.12,Credit Card,Online,East-Eve,"$8,688.71"
1071,20/05/2023,Eve,West,"$19,241.88",6,Furniture,"$2,831.23","$3,206.98",Returning,0.06,Bank Transfer,Retail,West-Eve,"$2,254.50"
1044,16/02/2023,David,South,"$76,004.72",22,Food,"$3,373.46","$3,454.76",Returning,0.22,Bank Transfer,Retail,South-David,"$1,788.60"
1008,01/01/2023,Eve,North,"$192,866.72",38,Clothing,"$4,635.23","$5,075.44",Returning,0.05,Cash,Online,North-Eve,"$16,727.98"
1047,31/03/2023,Alice,East,"$120,500.86",37,Electronics,"$3,114.88","$3,256.78",Returning,0.26,Credit Card,Online,East-Alice,"$5,250.30"
1035,22/05/2023,Alice,South,"$208,084.50",45,Food,"$4,132.79","$4,624.10",New,0.15,Credit Card,Retail,South-Alice,"$22,108.95"
1078,16/11/2023,David,East,"$29,257.84",8,Furniture,"$3,459.61","$3,657.23",Returning,0.03,Bank Transfer,Online,East-David,"$1,580.96"
1081,07/02/2023,David,East,"$118,048.84",41,Furniture,"$2,782.08","$2,879.24",New,0.21,Bank Transfer,Online,East-David,"$3,983.56"
1036,20/10/2023,David,North,"$70,042.56",49,Clothing,"$1,247.10","$1,429.44",New,0.16,Cash,Online,North-David,"$8,934.66"
1050,19/05/2023,Charlie,East,"$83,453.30",35,Clothing,"$2,158.69","$2,384.38",Returning,0.09,Bank Transfer,Retail,East-Charlie,"$7,899.15"
1004,22/12/2023,Eve,North,"$53,727.19",11,Clothing,"$4,840.33","$4,884.29",New,0.13,Cash,Online,North-Eve,$483.56
1002,29/11/2023,David,North,"$86,382.48",24,Furniture,"$3,305.94","$3,599.27",New,0.09,Credit Card,Retail,North-David,"$7,039.92"
1006,16/09/2023,Bob,North,"$154,183.40",49,Food,"$2,843.76","$3,146.60",New,0.08,Cash,Retail,North-Bob,"$14,839.16"
1054,10/06/2023,Bob,South,"$105,844.62",21,Furniture,"$4,668.14","$5,040.22",New,0.05,Bank Transfer,Online,South-Bob,"$7,813.68"
1004,27/06/2023,Alice,West,"$5,955.04",2,Electronics,"$2,953.23","$2,977.52",Returning,0.11,Credit Card,Retail,West-Alice,$48.58
1054,10/01/2023,Eve,South,"$117,172.80",40,Furniture,"$2,654.11","$2,929.32",Returning,0.08,Cash,Online,South-Eve,"$11,008.40"
1093,18/09/2023,David,West,"$73,045.69",19,Electronics,"$3,808.59","$3,844.51",New,0.21,Credit Card,Online,West-David,$682.48
1063,18/05/2023,Bob,West,"$153,318.75",39,Food,"$3,577.69","$3,931.25",Returning,0.21,Cash,Retail,West-Bob,"$13,788.84"
1018,21/06/2023,Eve,North,"$29,216.60",28,Clothing,"$1,006.14","$1,043.45",New,0.15,Bank Transfer,Retail,North-Eve,"$1,044.68"
1090,13/01/2023,Alice,East,"$48,275.41",17,Clothing,"$2,382.98","$2,839.73",Returning,0.23,Bank Transfer,Retail,East-Alice,"$7,764.75"
1044,17/06/2023,Charlie,North,"$16,457.82",6,Furniture,"$2,388.95","$2,742.97",Returning,0.25,Credit Card,Retail,North-Charlie,"$2,124.12"
1034,10/05/2023,Eve,East,"$41,435.77",19,Clothing,"$1,922.21","$2,180.83",Returning,0.17,Credit Card,Retail,East-Eve,"$4,913.78"
1074,25/03/2023,Eve,West,"$107,803.72",38,Food,"$2,610.60","$2,836.94",Returning,0.19,Credit Card,Online,West-Eve,"$8,600.92"
1062,17/11/2023,Charlie,North,"$60,729.48",28,Clothing,"$2,094.88","$2,168.91",Returning,0.08,Cash,Retail,North-Charlie,"$2,072.84"
1100,15/11/2023,Eve,East,"$2,378.70",2,Furniture,"$1,036.76","$1,189.35",New,0.27,Bank Transfer,Online,East-Eve,$305.18
1014,11/04/2023,Alice,South,"$96,026.00",38,Food,"$2,091.21","$2,527.00",Returning,0.01,Credit Card,Online,South-Alice,"$16,560.02"
1095,25/11/2023,Alice,East,"$31,855.15",37,Electronics,$407.77,$860.95,New,0.10,Credit Card,Retail,East-Alice,"$16,767.66"
1048,30/09/2023,Charlie,North,"$11,642.04",4,Furniture,"$2,900.14","$2,910.51",New,0.22,Credit Card,Retail,North-Charlie,$41.48
1015,22/09/2023,David,South,"$100,687.84",22,Electronics,"$4,275.59","$4,576.72",Returning,0.02,Cash,Retail,South-David,"$6,624.86"
1072,07/02/2023,Bob,East,"$104,068.38",26,Food,"$3,640.17","$4,002.63",New,0.05,Credit Card,Retail,East-Bob,"$9,423.96"
1078,04/04/2023,David,East,"$105,209.86",49,Furniture,"$1,833.95","$2,147.14",Returning,0.18,Credit Card,Retail,East-David,"$15,346.31"
1087,05/04/2023,Eve,East,"$22,833.86",43,Furniture,$481.00,$531.02,New,0.17,Cash,Online,East-Eve,"$2,150.86"
1062,01/11/2023,Bob,East,"$42,023.88",36,Food,"$1,050.64","$1,167.33",New,0.22,Cash,Online,East-Bob,"$4,200.84"
1040,10/03/2023,Charlie,East,"$37,477.05",13,Clothing,"$2,750.18","$2,882.85",Returning,0.24,Credit Card,Online,East-Charlie,"$1,724.71"
1085,14/11/2023,Charlie,South,"$47,759.36",32,Furniture,"$1,074.93","$1,492.48",Returning,0.04,Credit Card,Retail,South-Charlie,"$13,361.60"
1080,24/08/2023,Bob,West,"$50,653.88",17,Furniture,"$2,742.67","$2,979.64",Returning,0.01,Cash,Retail,West-Bob,"$4,028.49"
1082,30/11/2023,Alice,South,"$59,243.77",41,Electronics,"$1,196.42","$1,444.97",Returning,0.21,Bank Transfer,Online,South-Alice,"$10,190.55"
1053,17/05/2023,Bob,South,"$169,929.72",36,Clothing,"$4,252.17","$4,720.27",New,0.09,Cash,Retail,South-Bob,"$16,851.60"
1024,17/03/2023,Eve,South,"$107,578.36",46,Electronics,"$2,016.49","$2,338.66",Returning,0.19,Bank Transfer,Retail,South-Eve,"$14,819.82"
1026,04/02/2023,Alice,West,"$32,600.77",19,Electronics,"$1,265.48","$1,715.83",New,0.05,Credit Card,Retail,West-Alice,"$8,556.65"
1089,01/01/2023,Charlie,North,"$150,664.50",35,Clothing,"$4,071.01","$4,304.70",New,0.14,Credit Card,Online,North-Charlie,"$8,179.15"
1060,23/10/2023,Bob,West,"$84,192.42",46,Clothing,"$1,747.05","$1,830.27",New,0.15,Bank Transfer,Retail,West-Bob,"$3,828.12"
1041,16/11/2023,David,South,"$42,701.20",40,Food,$601.86,"$1,067.53",New,0.18,Cash,Online,South-David,"$18,626.80"
1029,01/03/2023,David,East,"$87,032.40",28,Clothing,"$2,873.53","$3,108.30",New,0.15,Credit Card,Retail,East-David,"$6,573.56"
1015,16/11/2023,Eve,East,"$3,027.74",1,Furniture,"$2,928.74","$3,027.74",New,0.15,Bank Transfer,Retail,East-Eve,$99.00
1045,15/12/2023,David,South,"$157,328.22",42,Clothing,"$3,587.74","$3,745.91",Returning,0.10,Cash,Online,South-David,"$6,643.14"
1065,24/11/2023,Bob,East,"$22,931.64",18,Food,"$1,239.09","$1,273.98",New,0.02,Bank Transfer,Retail,East-Bob,$628.02
1089,24/09/2023,Bob,South,"$119,334.72",48,Food,"$2,246.67","$2,486.14",New,0.03,Cash,Retail,South-Bob,"$11,494.56"
1071,27/12/2023,David,East,"$75,030.00",40,Food,"$1,447.72","$1,875.75",New,0.13,Cash,Retail,East-David,"$17,121.20"
1009,17/08/2023,Bob,West,"$30,299.61",33,Clothing,$450.72,$918.17,Returning,0.11,Cash,Online,West-Bob,"$15,425.85"
1088,27/09/2023,Eve,North,"$58,274.64",12,Clothing,"$4,389.24","$4,856.22",Returning,0.15,Cash,Retail,North-Eve,"$5,603.76"
1001,12/11/2023,Alice,North,"$29,834.16",8,Electronics,"$3,657.91","$3,729.27",New,0.09,Bank Transfer,Retail,North-Alice,$570.88
1008,13/10/2023,Eve,West,"$41,746.80",24,Electronics,"$1,542.24","$1,739.45",Returning,0.21,Bank Transfer,Retail,West-Eve,"$4,733.04"
1088,18/10/2023,Eve,West,"$48,651.68",16,Furniture,"$3,016.90","$3,040.73",New,0.26,Bank Transfer,Retail,West-Eve,$381.28
1063,01/08/2023,Bob,South,"$5,901.16",4,Electronics,"$1,046.26","$1,475.29",Returning,0.09,Bank Transfer,Retail,South-Bob,"$1,716.12"
1011,14/06/2023,Alice,South,"$176,413.48",38,Furniture,"$4,456.67","$4,642.46",New,0.06,Bank Transfer,Online,South-Alice,"$7,060.02"
1081,05/01/2023,Bob,South,"$41,273.76",44,Food,$618.79,$938.04,Returning,0.03,Cash,Online,South-Bob,"$14,047.00"
1008,05/12/2023,Charlie,East,"$11,590.83",27,Electronics,$68.99,$429.29,Returning,0.18,Credit Card,Retail,East-Charlie,"$9,728.10"
1035,19/03/2023,Bob,South,"$24,800.04",9,Clothing,"$2,534.94","$2,755.56",Returning,0.13,Credit Card,Retail,South-Bob,"$1,985.58"
1035,03/03/2023,Bob,West,"$145,542.08",47,Electronics,"$2,936.48","$3,096.64",New,0.06,Bank Transfer,Online,West-Bob,"$7,527.52"
1033,12/05/2023,Bob,North,"$54,357.76",16,Furniture,"$2,915.88","$3,397.36",New,0.20,Bank Transfer,Retail,North-Bob,"$7,703.68"
1005,30/03/2023,Alice,East,"$9,629.16",12,Electronics,$319.83,$802.43,New,0.04,Credit Card,Retail,East-Alice,"$5,791.20"
1041,25/08/2023,Bob,South,"$54,446.54",31,Food,"$1,604.52","$1,756.34",Returning,0.17,Cash,Retail,South-Bob,"$4,706.42"
1028,11/02/2023,Alice,East,"$66,385.20",24,Clothing,"$2,521.03","$2,766.05",Returning,0.16,Bank Transfer,Retail,East-Alice,"$5,880.48"
1007,30/03/2023,David,East,"$22,522.64",14,Furniture,"$1,122.07","$1,608.76",New,0.22,Cash,Retail,East-David,"$6,813.66"
1073,23/10/2023,Charlie,South,"$197,185.05",45,Clothing,"$4,369.50","$4,381.89",Returning,0.02,Credit Card,Retail,South-Charlie,$557.55
1072,24/11/2023,Alice,East,"$17,335.00",25,Clothing,$481.19,$693.40,New,0.27,Credit Card,Retail,East-Alice,"$5,305.25"
1012,22/10/2023,David,North,"$85,740.18",34,Furniture,"$2,462.55","$2,521.77",New,0.21,Bank Transfer,Retail,North-David,"$2,013.48"
1034,14/04/2023,Alice,West,"$11,196.00",3,Clothing,"$3,472.51","$3,732.00",New,0.06,Cash,Online,West-Alice,$778.47
1033,14/01/2023,Alice,West,"$32,826.24",24,Clothing,"$1,345.67","$1,367.76",New,0.06,Bank Transfer,Online,West-Alice,$530.16
1048,15/10/2023,Charlie,North,"$140,673.54",42,Electronics,"$3,139.99","$3,349.37",Returning,0.13,Credit Card,Retail,North-Charlie,"$8,793.96"
1023,28/06/2023,Eve,East,"$38,462.40",9,Clothing,"$4,155.46","$4,273.60",Returning,0.25,Cash,Retail,East-Eve,"$1,063.26"
1062,05/05/2023,Eve,South,"$32,850.74",26,Clothing,$992.17,"$1,263.49",Returning,0.25,Bank Transfer,Retail,South-Eve,"$7,054.32"
1088,19/12/2023,Alice,East,"$101,765.60",20,Clothing,"$4,590.24","$5,088.28",New,0.16,Bank Transfer,Retail,East-Alice,"$9,960.80"
1037,23/01/2023,Bob,North,"$127,694.80",40,Clothing,"$2,790.11","$3,192.37",Returning,0.26,Bank Transfer,Online,North-Bob,"$16,090.40"
1099,04/03/2023,David,East,"$19,555.60",10,Furniture,"$1,531.20","$1,955.56",New,0.00,Credit Card,Online,East-David,"$4,243.60"
1044,23/05/2023,Bob,West,"$47,576.57",19,Food,"$2,182.75","$2,504.03",New,0.01,Bank Transfer,Online,West-Bob,"$6,104.32"
1086,02/06/2023,Bob,East,"$4,877.13",3,Electronics,"$1,595.35","$1,625.71",New,0.27,Cash,Online,East-Bob,$91.08
1091,25/05/2023,Alice,North,"$90,015.12",24,Clothing,"$3,639.30","$3,750.63",New,0.23,Bank Transfer,Retail,North-Alice,"$2,671.92"
1035,13/08/2023,Alice,West,"$22,274.85",5,Clothing,"$3,991.69","$4,454.97",New,0.14,Credit Card,Retail,West-Alice,"$2,316.40"
1065,05/11/2023,Alice,East,"$13,087.32",3,Furniture,"$4,173.04","$4,362.44",New,0.23,Bank Transfer,Retail,East-Alice,$568.20
1099,14/04/2023,Alice,East,"$134,738.91",27,Food,"$4,929.55","$4,990.33",Returning,0.29,Credit Card,Online,East-Alice,"$1,641.06"
1047,14/04/2023,Eve,West,"$69,136.64",16,Clothing,"$3,966.86","$4,321.04",Returning,0.23,Credit Card,Retail,West-Eve,"$5,666.88"
1078,08/02/2023,Alice,South,"$155,995.42",49,Furniture,"$3,026.85","$3,183.58",Returning,0.25,Cash,Retail,South-Alice,"$7,679.77"
1003,17/07/2023,Eve,West,"$28,063.20",15,Electronics,"$1,729.14","$1,870.88",Returning,0.23,Cash,Online,West-Eve,"$2,126.10"
1001,14/05/2023,Eve,South,"$113,566.60",35,Electronics,"$2,745.75","$3,244.76",New,0.05,Bank Transfer,Online,South-Eve,"$17,465.35"
1005,08/03/2023,Alice,North,"$8,205.36",12,Clothing,$253.29,$683.78,New,0.25,Credit Card,Online,North-Alice,"$5,165.88"
1090,28/06/2023,Charlie,North,"$161,817.57",41,Clothing,"$3,736.88","$3,946.77",Returning,0.06,Credit Card,Online,North-Charlie,"$8,605.49"
1014,11/02/2023,David,West,"$120,903.64",44,Food,"$2,257.48","$2,747.81",Returning,0.27,Cash,Online,West-David,"$21,574.52"
1027,15/01/2023,Bob,West,"$12,419.42",26,Food,$149.11,$477.67,Returning,0.14,Cash,Retail,West-Bob,"$8,542.56"
1009,21/04/2023,Eve,North,"$34,451.00",47,Clothing,$359.41,$733.00,Returning,0.20,Bank Transfer,Retail,North-Eve,"$17,558.73"
1079,06/06/2023,David,South,"$67,775.60",34,Furniture,"$1,967.96","$1,993.40",Returning,0.15,Credit Card,Online,South-David,$864.96
1015,16/10/2023,Charlie,North,"$69,173.19",23,Food,"$2,937.94","$3,007.53",Returning,0.03,Cash,Retail,North-Charlie,"$1,600.57"
1090,19/08/2023,Bob,West,"$82,708.62",31,Clothing,"$2,347.81","$2,668.02",Returning,0.09,Bank Transfer,Retail,West-Bob,"$9,926.51"
1042,06/06/2023,Bob,North,"$71,311.60",20,Food,"$3,115.06","$3,565.58",Returning,0.30,Credit Card,Retail,North-Bob,"$9,010.40"
1077,07/02/2023,Eve,West,"$32,917.08",12,Clothing,"$2,427.46","$2,743.09",New,0.29,Credit Card,Retail,West-Eve,"$3,787.56"
1051,07/04/2023,Alice,West,"$78,225.30",23,Electronics,"$3,325.43","$3,401.10",New,0.10,Cash,Online,West-Alice,"$1,740.41"
1063,16/10/2023,Charlie,North,"$4,805.56",4,Clothing,"$1,134.67","$1,201.39",New,0.30,Bank Transfer,Retail,North-Charlie,$266.88
1096,11/09/2023,Eve,South,"$23,741.06",23,Electronics,$608.57,"$1,032.22",New,0.25,Cash,Retail,South-Eve,"$9,743.95"
1052,15/07/2023,Charlie,East,"$147,869.28",48,Food,"$3,002.35","$3,080.61",Returning,0.18,Bank Transfer,Retail,East-Charlie,"$3,756.48"
1096,27/03/2023,Alice,North,"$130,277.76",48,Clothing,"$2,449.21","$2,714.12",New,0.01,Credit Card,Online,North-Alice,"$12,715.68"
1004,18/11/2023,Alice,East,$211.18,1,Food,$182.99,$211.18,Returning,0.27,Bank Transfer,Retail,East-Alice,$28.19
1094,10/01/2023,Eve,North,"$49,573.00",25,Electronics,"$1,933.39","$1,982.92",New,0.17,Bank Transfer,Online,North-Eve,"$1,238.25"
1023,05/01/2023,Alice,East,"$1,829.54",2,Clothing,$575.32,$914.77,Returning,0.26,Bank Transfer,Online,East-Alice,$678.90
1015,03/05/2023,David,South,"$90,837.60",30,Food,"$2,680.22","$3,027.92",Returning,0.25,Bank Transfer,Online,South-David,"$10,431.00"
1043,26/11/2023,Bob,South,"$6,559.26",3,Electronics,"$2,009.10","$2,186.42",New,0.25,Bank Transfer,Online,South-Bob,$531.96
1029,19/12/2023,Eve,North,"$67,215.75",21,Food,"$3,085.10","$3,200.75",New,0.21,Cash,Retail,North-Eve,"$2,428.65"
1036,28/04/2023,Charlie,West,"$111,161.25",25,Furniture,"$4,037.73","$4,446.45",Returning,0.09,Bank Transfer,Online,West-Charlie,"$10,218.00"
1013,21/10/2023,David,East,"$32,994.80",20,Electronics,"$1,533.36","$1,649.74",Returning,0.10,Bank Transfer,Online,East-David,"$2,327.60"
1032,08/06/2023,Eve,West,"$249,312.00",49,Electronics,"$4,812.41","$5,088.00",Returning,0.09,Credit Card,Online,West-Eve,"$13,503.91"
1071,30/10/2023,Alice,West,"$70,087.82",22,Electronics,"$2,701.39","$3,185.81",New,0.01,Bank Transfer,Online,West-Alice,"$10,657.24"
1059,16/08/2023,Alice,West,"$67,052.79",21,Clothing,"$3,110.54","$3,192.99",New,0.17,Credit Card,Online,West-Alice,"$1,731.45"
1086,31/12/2023,Alice,South,"$128,381.88",33,Clothing,"$3,419.33","$3,890.36",Returning,0.21,Cash,Retail,South-Alice,"$15,543.99"
1028,04/08/2023,Alice,North,"$131,097.72",38,Clothing,"$3,350.32","$3,449.94",New,0.26,Cash,Online,North-Alice,"$3,785.56"
1066,03/07/2023,Charlie,North,"$43,010.40",15,Furniture,"$2,579.31","$2,867.36",Returning,0.04,Bank Transfer,Retail,North-Charlie,"$4,320.75"
1042,15/01/2023,David,South,"$108,887.06",46,Furniture,"$2,172.38","$2,367.11",New,0.16,Cash,Retail,South-David,"$8,957.58"
1045,06/06/2023,Bob,South,"$11,985.60",15,Electronics,$316.22,$799.04,New,0.00,Bank Transfer,Online,South-Bob,"$7,242.30"
1062,16/05/2023,Charlie,North,"$13,954.56",46,Furniture,$159.32,$303.36,New,0.03,Cash,Retail,North-Charlie,"$6,625.84"
1057,18/09/2023,Charlie,West,"$50,693.50",25,Food,"$1,821.91","$2,027.74",New,0.02,Bank Transfer,Retail,West-Charlie,"$5,145.75"
1006,06/06/2023,Bob,East,"$46,057.62",21,Electronics,"$1,701.62","$2,193.22",New,0.22,Bank Transfer,Retail,East-Bob,"$10,323.60"
1028,16/02/2023,Bob,East,"$53,807.04",24,Electronics,"$1,969.09","$2,241.96",Returning,0.02,Credit Card,Online,East-Bob,"$6,548.88"
